Field name,Type [1]_,Format,Description
**ЕлектроннийДокумент**,М, ,The beginning of the document
**Заголовок**,М,Number of occurrences unit: Min = 1; Max = 1, Heading (block start)
НомерДокументу,М,String (16),Document number
ТипДокументу,М,String (50),Type of document: Sales Invoice
КодТипуДокументу,М,«006»,Allowed value COMDOC code: 006 => Sales Invoice (`all COMDOC types <https://wiki.edin.ua/en/latest/XML/comdoc_type.html>`__)
ДатаДокументу,М,Date (YYYY-MM-DD),Document date
НомерЗамовлення,M,String (20),Order number
ДатаЗамовлення,M,Date (YYYY-MM-DD),Order date
ПлановаДатаДоставки,M,Date (YYYY-MM-DD),Estimated delivery date
ДокВерсія,M,A positive number (1-99),Document version
**ДокПідстава**,M,Number of occurrences unit: Min = 0; Max = 10,Document basis on (block start)
НомерДокументу,M,String (30),Basis document number
ТипДокументу,M,String (50),Document type: Договір (Agreement)
КодТипуДокументу,M,«001»,Valid value: 001 => Договір (Agreement)
ДатаДокументу,M,Date (YYYY-MM-DD),Basis document date
**ДокПідстава**, , ,Document basis on (the end of the block)
НомерВідвантаження,M,String (50),Despatch Advice number
ДатаВідвантаження,M,Date (YYYY-MM-DD),Despatch Advice date
**Заголовок**, , ,Heading (the end of the block)
**Сторони**,M,Number of occurrences unit: Min = 1; Max = 1,The parties between whom the document is concluded (block start)
**Контрагент**,M,Number of occurrences unit: Min = 2; Max = 10,"Counterparty (block start). The first one indicates the sender's block (Supplier), the second - the recipient (Buyer)"
СтатусКонтрагента,M,String (30),Valid value: Постачальник (Supplier)
ВидОсоби,M,String (20),"Type of institution:

* Legal entity
* Physical person"
НазваКонтрагента,M,String (50),Counterparty name
КодКонтрагента,M,String (8),Counterparty code. The value of the code is the payer's code in accordance with the USREOU (Registration (accounting) number from Interim Register of State Tax Administration of Ukraine) or the registration number of the taxpayer registration card (passport number recorded as a sequence of two uppercase letters of the Ukrainian alphabet and six digits)
ІПН,M,String (12),Counterparty individual tax number
IBAN,M,String (35),IBAN (international bank account number; use in international settlements)
Телефон,M,String (20),Phone number
GLN,M,Integer (13),Counterparty Global Location Number (GLN)
**ЮрАдреса**,M, ,Legal address of the counterparty (block start)
Індекс,M,Integer (5),Post index
Область,M,String (50),"Region. Valid value:

* Одеська
* Дніпропетровська
* Чернігівська
* Харківська
* Житомирська
* Полтавська
* Херсонська
* Київська
* Запорізька
* Луганська
* Донецька
* Вінницька
* Автономна Республіка Крим
* Миколаївська
* Кіровоградська
* Сумська
* Львівська
* Черкаська
* Хмельницька
* Волинська
* Рівненська
* Івано-Франківська
* Тернопільська
* Закарпатська
* Чернівецька
* м. Севастополь
* м. Київ"
Місто,M,String (50),City
Вулиця,M,String (50),Street
**ЮрАдреса**, , ,Legal address of the counterparty (the end of the block) 
**Контрагент**, , ,Counterparty (the end of the block)
**Контрагент**,M,Number of occurrences unit: Min = 2; Max = 10,"Counterparty (block start). The first one indicates the sender's block (Supplier), the second - the recipient (Buyer)"
СтатусКонтрагента,M,String (30),Valid value: Покупець (Buyer)
ВидОсоби,M,String (20),"Type of institution:

* Legal entity
* Physical person"
НазваКонтрагента,M,String (50),Counterparty name
