Field name,Type [1]_,Format,Description
**ORDER**,,, The beginning of the document
DOCUMENTNAME,М,Positive number,Title of the document (220 — order)
NUMBER,М,String (50),Order number
DATE,М,Date (YYYY-MM-DD),Document date
DELIVERYDATE,М,Date (YYYY-MM-DD),Delivery date
CURRENCY, O, String (3), Currency code (UAH / RUB / USD / EUR / MDL / BYR...)
PAYMENTMETHOD, O, String (1), "Payment method code:

* 1 - Cash payment
* 2 - Cashless payment"
DOCTYPE, O, String (1), "Document type:

* O — original"
DISTRIBUTOR, М,, "Filled in for Distribution service only

* 1 — Distribution service document"
**HEAD**,,, Start of the main block
SUPPLIER, M, Number (13), Producer GLN
BUYER, M, Number (13), Distributor GLN
DELIVERYPLACE, M, Number (13), Delivery location GLN
SENDER, M, Number (13), Message sender GLN
RECIPIENT, M, Number (13), Message recipient GLN
EDIINTERCHANGEID, O, String (70), Transaction number (Unique NUMBER generated by the sender)
DELIVERYTERMS, O, Number, "Delivery:

* 1 - Own transport;
* 2 - Producers transport"
**POSITION**,,, Commodity items (the beginning of the block)
POSITIONNUMBER, O, Positive number, "Commodity item number (The sequence number of the item in the document (1, 2, 3, 4... n))"
PRODUCT, M, "Number (8, 10, 14)", Product barcode
PRODUCTIDSUPPLIER, O, String (16), Item id in Producer database
IDPRODUCER, O, String (8), Producer code
ORDEREDQUANTITY, M, Positive number, Ordered quantity (units quantity)
ORDERUNIT, M, String (3), `Units of measurement <https://wiki.edin.ua/en/latest/Distribution/EDIN_2_0/XML/units_distr.html>`__
ORDERPRICE, O, Decimal, Product price without VAT
PRICEWITHVAT, O, Decimal, Product price with VAT
VAT, O, Decimal,"VAT rate, %"
MAXIMUMORDERQUANTITY, O, "Floating point number (maximal 10 symbols before dot, 3 symbols after dot)", Quota to order
CATEGORYNAME, O, String (70), Product Line name
BRENDNAME, O, String (70), Product Category name
GROUPNAME,,, Product Subcategory name
NOVELTY, O,, Novelty
COUNTPIECESINBOX, O, Positive number, Units quantity in a box
COUNTBOXESINLAYER, O, Positive number, Boxes quantity in the layer (in 1 level)
COUNTPERPALLET, O, Positive number, Boxes quantity on the pallet
WEIGHT, O, Decimal, Box weight
UNITWEIGHT, O, "Floating point number (maximal 10 symbols before dot, 3 symbols after dot)", Unit weight (kg)
PALLETS, O, Positive number, Pallets amount
BOXESCOUNT, O, Positive number, Boxes amount
**CHARACTERISTIC**,,, Characteristic (the beginning of the block)
DESCRIPTION, O, String (70), Product name / description
**CHARACTERISTIC**,,, Characteristic (the end of the block)
**POSITION**,,, Commodity items (the end of the block)
**HEAD**,,, End of the main block
**ORDER**,,, End of the document
