Field name,Type [1]_,Format,Description
**UAECMR_ACT**,M,, (beginning of document)
**ACT**,M,, (beginning of document content)
**ExchangedDocumentContext**,M,, Technical data (block start)
ram:SpecifiedTransactionID,M,string, Version number of the document (transaction) in the document signing chain
**ram:BusinessProcessSpecifiedDocumentContextParameter**,M,, document context parameter defined by the business process (block start)
ram:ID,M,string, document code
**ram:BusinessProcessSpecifiedDocumentContextParameter**,,, document context parameter defined by the business process (the end of the block)
**ram:GuidelineSpecifiedDocumentContextParameter**,M,, parameter of the context of the defined document (block start)
ram:ID,M,unsignedByte, document subtype (Adjustment act)
**ram:GuidelineSpecifiedDocumentContextParameter**,,, parameter of the context of the defined document (the end of the block)
**ExchangedDocumentContext**,,, Technical data (the end of the block)
**ExchangedDocument**,M,, Details of the Act (block start)
ram:ID,M,string, document number
**ram:IssueDateTime**,M,,Date and time of drafting the document (block start)
**udt:DateTime**,,:abbr:`datetime ((yyyy-mm-ddThh:mm:ss+zz:zz) like 2021-12-13T14:19:23+02:00 ( https://www.w3.org/TR/xmlschema-2/#dateTime))`, Date and time of drafting the Act
**ram:IssueDateTime**,,, Date and time of drafting the document (the end of the block)
ram:Remarks,O,string, Other notes
**ram:IssueLogisticsLocation**,M,, Place of drafting the document (block start)
ram:Name,M,string, Name of the place of drafting of the Act
ram:Description,M,string, Description (address) of the place of drafting the Act
**ram:IssueLogisticsLocation**,,, Place of compilation of the document (the end of the block)
**ExchangedDocument**,,, Details of the Act (the end of the block)
**AdjustmentActPayload**,M,, Information about the Act (block start)
**PreviousAdministrativeReferencedDocument**,M,,"Information about e-TTN, for which the act were drafted (block start)"
ram:TypeCode,M,string, Document type (730 - TTN). `Document code directory <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit#gid=723047960>`__
ram:ID,M,string,Basic document number (TTN); must correspond to the document number ExchangedDocument.ID eTTN
**ram:FormattedIssueDateTime**,M,, Date of the basic document (TTN); must correspond to the date of the document ExchangedDocument.IssueDateTime eТТН (block start)
qdt:DateTimeString,M,:abbr:`datetime ((yyyy-mm-ddThh:mm:ss+zz:zz) like 2021-12-13T14:19:23+02:00 ( https://www.w3.org/TR/xmlschema-2/#dateTime))`, Date and time of the basic document (TTN)
**ram:FormattedIssueDateTime**,,, Date of the basic document (TTN); must match the date of the document ExchangedDocument.IssueDateTime eТТН (the end of the block)
**ram:AttachedSpecifiedBinaryFile**,M,, e-TTN data for which the act were drafted (block start)
ram:ID,M,string,Identifier (guid) of the basic document (TTN); must correspond to the document.id of eTTN in the Central Base (the **ettnId** value from the method `Getting a list of events from the Central Base <https://wiki.edin.ua/uk/latest/API_ETTNv3_1/Methods/MintransEvents.html>`__ = value **external_doc_id** `Getting document metadata <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/GetDocument.html>`__)
ram:URIID,O,string, link to the document
ram:MIMECode,O,string, `MIME typing <https://uk.wikipedia.org/wiki/MIME_%D1%82%D0%B8%D0%BF>`__
ram:SizeMeasure,O,long, file size in bytes
**ram:AttachedSpecifiedBinaryFile**,,, e-TTN data for which the act were drafted (the end of the block)
**PreviousAdministrativeReferencedDocument**,,,"Information about e-TTN, for which the act were drafted (the end of the block)"
**PreviousAdministrativeReferencedDocument**,-/M,,"Information about the previous act, in the case of the next transaction (block start)"
ram:TypeCode,M,string, Document type. `Document code directory <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit#gid=723047960>`__
ram:ID,M,string, Number of the basic document (Act); must correspond to the document number ExchangedDocument.ID of the Act
**ram:FormattedIssueDateTime**,M,, Date of the basic document (Act); must correspond to the date of the ExchangedDocument.IssueDateTime Act (block start)
qdt:DateTimeString,M,:abbr:`datetime ((yyyy-mm-ddThh:mm:ss+zz:zz) like 2021-12-13T14:19:23+02:00 ( https://www.w3.org/TR/xmlschema-2/#dateTime))`, Date and time of the basic document (Act)
**ram:FormattedIssueDateTime**,,, Date of the basic document (Act); must correspond to the date of the ExchangedDocument.IssueDateTime Act (the end of the block)
**PreviousAdministrativeReferencedDocument**,,,"Information about the previous act, in the case of the next transaction (the end of the block)"
**InitiatorTradeParty**,M,,"Initiator of the act (Customer) (block start). Here is an example when the initiator of the Act is the Customer (who is neither the Consignor nor the Consignee) - the document will have four signatories: the Customer, the Consignor, the Carrier and the Consignee"
**ram:ID**,M,, Customer identification code (block start)
schemeAgencyID,M,string, USREOU
value,M,decimal, Value
**ram:ID**,,, Identification code of the Customer (the end of the block)
ram:Name,M,string, Full name of the Customer
ram:RoleCode,M,string,Participant role (Customer - OB). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**InitiatorTradeParty**,,,"The initiator of the act (the customer) (the end of the block). Here is an example when the initiator of the Act is the Customer (who is neither the Consignor nor the Consignee) - the document will have four signatories: the Customer, the Consignor, the Carrier and the Consignee"
**ConsignorTradeParty**,M,,Consignor (block start)
**ram:ID**,M,, Identification code of the Consignor (block start)
schemeAgencyID,M,string, USREOU
value,M,decimal, Value
**ram:ID**,,, Identification code of the Consignor (the end of the block)
ram:Name,M,string, Full name of the Consignor
ram:RoleCode,M,string,Participant role (Consignor - CZ). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ConsignorTradeParty**,,, Consignor (the end of the block)
**CarrierTradeParty**,M,, Carrier (block start)
**ram:ID**,M,, Identification code of the Carrier (block start)
schemeAgencyID,M,string, USREOU
value,M,decimal, Value
**ram:ID**,,, Identification code of the Carrier (the end of the block)
ram:Name,M,string, Full name of the Carrier
ram:RoleCode,M,string, Participant role (Carrier — CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**CarrierTradeParty**,,, Carrier (the end of the block)
**ConsigneeTradeParty**,O,, Consignee (block start)
**ram:ID**,M,, Identification code of the Consignee (block start)
schemeAgencyID,M,string, USREOU
value,M,decimal, Value
**ram:ID**,,,Identification code of the Consignee (the end of the block)
ram:Name,M,string, Full name of the Consignee
ram:RoleCode,M,string, Participant role (Consignee - CN). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ConsigneeTradeParty**,,, Consignee (the end of the block)
**AdjustedSupplyChainConsignment**,M,, Table of adjustments (block start)
**ram:ConsignorTradeParty**,O,,Consignor (block start)
ram:Name,M,string, Full name of the Consignor (legal entity or full name of the individual entrepreneur) carrying out the shipment (write-off) of the goods and material values listed in the TTN
**ram:DefinedTradeContact**,O,, Contacts of the responsible representative (block start)
ram:PersonName,O,string, Full name
**ram:TelephoneUniversalCommunication**,O,, Main phone (block start)
ram:CompleteNumber,O,string,Contacts
**ram:TelephoneUniversalCommunication**,,, Main phone (the end of the block)
**ram:MobileTelephoneUniversalCommunication**,O,, Mobile phone (block start)
ram:CompleteNumber,O,string,Contacts
**ram:MobileTelephoneUniversalCommunication**,,, Mobile phone (the end of the block)
**ram:EmailURIUniversalCommunication**,O,, Email address (block start)
ram:CompleteNumber,O,string,Contacts
**ram:EmailURIUniversalCommunication**,,, Email address (the end of the block)
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:PostalTradeAddress**,M,, Legal address of the Consignor (legal address of a legal entity or address of registration of an individual entrepreneur) (block start)
ram:PostcodeCode,O,string, Index
ram:StreetName,M,string, Address (street name + building number)
ram:CityName,M,string, City (name of settlement)
ram:CountryID,M,string, Country (UA)
ram:CountrySubDivisionName,O,string, Region and district (if available)
**ram:PostalTradeAddress**,,,Legal address of the Consignor (legal address of a legal entity or address of registration of an individual entrepreneur) (the end of the block)
**ram:ConsignorTradeParty**,,, Consignor (the end of the block)
**ram:ConsigneeTradeParty**,O,, Consignee (block start)
ram:Name,M,string, Full name of the Consignee (a legal entity or the full name of an individual entrepreneur) who is receiving (shipping) the goods and material values listed in the TTN
**ram:DefinedTradeContact**,O,, Contacts of the responsible representative (block start)
ram:PersonName,O,string, Full name
**ram:TelephoneUniversalCommunication**,O,, Main phone (block start)
