Field name,Type [1]_,Format,Description
**UAECMR_ACT**,M,, (beginning of the document)
**ACT**,M,, (beginning of the document content)
**ExchangedDocumentContext**,M,, Technical data (beginning of block)
ram:SpecifiedTransactionID,M,string, Version number of the document (transaction) in the document signing chain
**ram:BusinessProcessSpecifiedDocumentContextParameter**,M,, Document context parameter defined by the business process (start of block)
ram:ID,M,string, Document code
**ram:BusinessProcessSpecifiedDocumentContextParameter**,,, Document context parameter defined by the business process (end of block)
**ram:GuidelineSpecifiedDocumentContextParameter**,M,, Parameter of the context of the specified document (beginning of the block)
ram:ID,M,unsignedByte, Document subtype (Consignee change act)
**ram:GuidelineSpecifiedDocumentContextParameter**,,, Parameter of the context of the specified document (end of block)
**ExchangedDocumentContext**,,, Technical data (end of block)
**ExchangedDocument**,M,,Details of the Act (beginning of the block)
ram:ID,M,string, Document number
**ram:IssueDateTime**,M,, Date and time of drafting the document (beginning of the block)
**udt:DateTime**,,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00), Date and time of drafting the Act
**ram:IssueDateTime**,,, Date and time of drafting the document (end of block)
ram:Remarks,O,string, Other notes
**ram:IssueLogisticsLocation**,M,,Place of drafting of the document (beginning of the block)
ram:Name,M,string, Name of the place of drafting of the Act
ram:Description,M,string, Description (address) of the place of drafting the Act
**ram:IssueLogisticsLocation**,,,Place of drafting of the document (end of block)
**ExchangedDocument**,,, Details of the Act (end of block)
**ConsigneeChangeActPayload**,M,, Information about the Act (beginning of the block)
**PreviousAdministrativeReferencedDocument**,M,,"Information about e-TTN, for which the act is drafting (beginning of the block)"
ram:TypeCode,M,string,Document type (730 - TTN). `Document code directory <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__
ram:ID,M,string, Basic document number (TTN); must correspond to the document number ExchangedDocument.ID eTTN
**ram:FormattedIssueDateTime**,M,, Date of the basic document (TTN); must correspond to the date of the document ExchangedDocument.IssueDateTime eTTN (beginning of the block)
qdt:DateTimeString,M,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00), Date and time of the basic document (TTN)
**ram:FormattedIssueDateTime**,,, Date of the basic document (TTN); must correspond to the date of the document ExchangedDocument.IssueDateTime eTTN (end of block)
**ram:AttachedSpecifiedBinaryFile**,M,, e-TTN data for which the act is drafting (beginning of the block)
ram:ID,M,string,Identifier (guid) of the basic document (TTN); must correspond to the document.id of eTTN in the Central Base (the **ettnId** value from the method `Getting a list of events from the Central Base <https://wiki.edin.ua/uk/latest/API_ETTNv3_1/Methods/MintransEvents.html>`__ = value **external_doc_id** `Getting document metadata <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/GetDocument.html>`__)
ram:URIID,O,string, link to the document
ram:MIMECode,O,string, `MIME typing <https://uk.wikipedia.org/wiki/MIME_%D1%82%D0%B8%D0%BF>`__
ram:SizeMeasure,O,long, file size in bytes
**ram:AttachedSpecifiedBinaryFile**,,, Data of e-TTN for which the act is drafting (end of block)
**PreviousAdministrativeReferencedDocument**,,,"Information about e-TTN, for which the act is drafting (end of block)"
**PreviousAdministrativeReferencedDocument**,-/M,,"Information about the previous act, in the case of the next transaction (beginning of the block)"
ram:TypeCode,M,string, Document type. `Document code directory <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__
ram:ID,M,string, Number of the basic document (Act); must correspond to the document number ExchangedDocument.ID of the Act
**ram:FormattedIssueDateTime**,M,, Date of the basic document (Act); must match the date of the document ExchangedDocument.IssueDateTime Act (beginning of the block)
qdt:DateTimeString,M,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00), Date and time of the basic document (Act)
**ram:FormattedIssueDateTime**,,, Date of the basic document (Act); must match the date of the document ExchangedDocument.IssueDateTime Act (end of block)
**PreviousAdministrativeReferencedDocument**,,,"Information about the previous act, in the case of the next transaction (end of the block)"
**InitiatorTradeParty**,M,,"The initiator of the act is the Consignee (beginning of the block). Here is an example for the option when the Act is initiated by the Consignee - the document will have three signatories: the Consignee, the Carrier and the Customer (if he is not the Consignee)."
**ram:ID**,M,, Identification code of the Consignee (beginning of the block)
schemeAgencyID,M,string, USREOU
value,M,decimal, Value
**ram:ID**,,, Identification code of the Consignee (end of block)
ram:Name,M,string, Full name of the Consignee
ram:RoleCode,M,string,Participant role (Consignee - CN). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:SpecifiedGovernmentRegistration**,M,,GLN of the Consignee (block start)
ram:ID,M,string,"GLN of the participating company"
ram:TypeCode,O,string,"Id type code:

* TRADEPARTY_GLN"
**ram:SpecifiedGovernmentRegistration**,,,GLN of the Consignee (the end of the block)
**InitiatorTradeParty**,,,"The initiator of the act is the Consignee (the end of the block). Here is an example for the option when the Act is initiated by the Consignee - the document will have three signatories: the Consignee, the Carrier and the Customer (if he is not the Consignee)."
**CarrierTradeParty**,M,, Carrier (start of block)
**ram:ID**,M,, Identification code of the Carrier (beginning of the block)
schemeAgencyID,M,string, USREOU
value,M,decimal, Value
**ram:ID**,,, Identification code of the Carrier (end of block)
ram:Name,M,string, Full name of the Carrier
ram:RoleCode,M,string,Participant role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:SpecifiedGovernmentRegistration**,M,,Driver's license / Driver's GLN / GLN of the participating company (block start)
ram:ID,M,string,"* Driver's license series and number. Filled in the format «3 capital Cyrillic letters + 6 numbers without spaces», for example: ``DGJ123456``, ``АБВ123456``
* for ram:TypeCode=DRIVER_GLN - Driver's GLN
* for ram:TypeCode=TRADEPARTY_GLN - GLN of the participating company"
ram:TypeCode,O,string,"Id type code:

* DRIVER_GLN
* TRADEPARTY_GLN"
**ram:SpecifiedGovernmentRegistration**,,,Driver's license / Driver's GLN / GLN of the participating company (the end of the block)
**CarrierTradeParty**,,, Carrier (end of block)
**CustomerTradeParty**,M,, Customer (start of block)
**ram:ID**,M,, Identification code of the Customer (beginning of the block)
schemeAgencyID,M,string, USREOU
value,M,decimal, Value
**ram:ID**,,, Identification code of the Customer (end of block)
ram:Name,M,string, Full name of the Customer
ram:RoleCode,M,string, Participant role (Customer - OB). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:SpecifiedGovernmentRegistration**,M,,GLN of the Customer (block start)
ram:ID,M,string,"GLN of the participating company"
ram:TypeCode,O,string,"Id type code:

* TRADEPARTY_GLN"
**ram:SpecifiedGovernmentRegistration**,,,GLN of the Customer (the end of the block)
**CustomerTradeParty**,,, Customer (end of block)
**ConsigneeTradeParty**,O,, New Consignee (beginning of block)
**ram:ID**,M,, Identification code of the Consignee (beginning of the block)
schemeAgencyID,M,string, USREOU
value,M,decimal, Value
**ram:ID**,,, Identification code of the Consignee (end of block)
ram:Name,M,string, Full name of the Consignee
ram:RoleCode,M,string,Participant role (Consignee - CN). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,O,,Contacts of the responsible representative of the Consignee (beginning of the block)
ram:PersonName,O,string, Full name
**ram:TelephoneUniversalCommunication**,O,, Main phone (beginning of block)
ram:CompleteNumber,O,string, Contacts
**ram:TelephoneUniversalCommunication**,,, Main phone (end of block)
**ram:MobileTelephoneUniversalCommunication**,O,, Mobile phone (beginning of block)
ram:CompleteNumber,O,string, Contacts
**ram:MobileTelephoneUniversalCommunication**,,, Mobile phone (end of block)
**ram:EmailURIUniversalCommunication**,O,, Email address (start of block)
ram:CompleteNumber,O,string, Contacts
**ram:EmailURIUniversalCommunication**,,, Email address (end of block)
**ram:DefinedTradeContact**,,, Contacts of the responsible representative of the Consignee (end of block)
**ram:PostalTradeAddress**,M,, Legal address of the Consignee (legal address of a legal entity or address of registration of an individual entrepreneur) (beginning of the block)
ram:PostcodeCode,O,string, Index
ram:StreetName,M,string,Address (street name + building number)
ram:CityName,M,string, City (name of settlement)
ram:CountryID,M,string, Country (UA)
ram:CountrySubDivisionName,O,string, Region and district (if available)
**ram:PostalTradeAddress**,,, Legal address of the Consignee (legal address of a legal entity or address of registration of an individual entrepreneur) (end of block)
**ram:SpecifiedTaxRegistration**,O,, Identification code of the responsible person (beginning of the block)
ram:ID,O,string, RNTAC of the responsible person
**ram:SpecifiedTaxRegistration**,,, Identification code of the responsible person (end of block)
**ram:SpecifiedGovernmentRegistration**,M,,GLN of the New Consignee (block start)
ram:ID,M,string,"GLN of the participating company"
ram:TypeCode,O,string,"Id type code:

* TRADEPARTY_GLN"
**ram:SpecifiedGovernmentRegistration**,,,GLN of the New Consignee (the end of the block)
**ConsigneeTradeParty**,,, New Consignee (end of block)
**ConsigneeReceiptLogisticsLocation**,M,, Unloading point (beginning of block)
**ram:ID**,M,,CATUTTC code of the unloading point in accordance with the Codifier of administrative-territorial units and territories of territorial communities (beginning of the block)
schemeAgencyID,M,string, CATUTTC
value,M,decimal, Value
**ram:ID**,,, CATUTTC code of the unloading point in accordance with the Codifier of administrative-territorial units and territories of territorial communities (end of block)
ram:Name,M,string, Name of the unloading point
ram:TypeCode,M,string, Type of operation: 5 - load; 10 — unload
ram:Description,M,string, Description (address) of the unloading point
**ram:PhysicalGeographicalCoordinate**,M,, Geographical coordinates (start of the block)
ram:LatitudeMeasure,O,string, Latitude
ram:LongitudeMeasure,O,string, Longitude
**ram:SystemID**,M,, GLN code (start of block)
schemeAgencyID,M,string, GLN
value,M,decimal, Value
**ram:SystemID**,,,GLN code (end of block)
**ram:PhysicalGeographicalCoordinate**,,, Geographic coordinates (end of block)
**ConsigneeReceiptLogisticsLocation**,,, Unloading point (end of block)
InitiatorNotes,M,string, Brief or full description of the reasons for drafting the act (Initiator)
