Field name,Type [1]_,Format,Description
**UAECMR**,M,,(the beginning of the document)
**eCMR**,M,,(the beginning of the document content)
**ExchangedDocumentContext**,M,,Technical data (block start)
ram:SpecifiedTransactionID,M,string,Document version number (transaction) in the document signing chain
**ram:BusinessProcessSpecifiedDocumentContextParameter**,M,,Document context parameter defined by a business process (block start)
ram:ID,M,string,document code
**ram:BusinessProcessSpecifiedDocumentContextParameter**,,,Document context parameter defined by a business process (the end of the block)
**ram:GuidelineSpecifiedDocumentContextParameter**,M,,The context parameter of a certain document (block start)
ram:ID,M,unsignedByte,Document subtype. Type E-TTN depending on the type of cargo: basic (001 - generic (default))
**ram:GuidelineSpecifiedDocumentContextParameter**,,,The context parameter of a certain document (the end of the block)
**ExchangedDocumentContext**,,,Technical data (the end of the block)
**ExchangedDocument**,M,,TTN details (block start)
ram:ID,M,string,serial number (series) of the TTN document
**ram:IssueDateTime**,M,,Date and time of drafting the document (block start)
**udt:DateTime**,,:abbr:`datetime ((yyyy-mm-ddThh:mm:ss+zz:zz) like 2021-12-13T14:19:23+02:00 ( https://www.w3.org/TR/xmlschema-2/#dateTime))`,Date and time of drafting the document
**ram:IssueDateTime**,,,Date and time of drafting the document (the end of the block)
ram:Remarks,O,string,Remarks
**ram:IncludedNote**,M,,Included Note (block start)
**ram:ContentCode**,M,,Content Code (block start)
listAgencyID,M,String,Identifier (GLN)
value,M,String,id value
**ram:ContentCode**,,,Content Code (the end of the block)
ram:Content,M,String, Participant role code. `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:IncludedNote**,,,Included Note (the end of the block)
**ram:IssueLogisticsLocation**,M,, Place of drafting the document (block start)
ram:Name,M,string, Name of the place of TTN compilation
ram:Description,M,string, Description (address) of the place where the TTN was created
**ram:IssueLogisticsLocation**,,,Place of drafting the document  (the end of the block)
**ExchangedDocument**,,,TTN details (the end of the block)
**SpecifiedSupplyChainConsignment**,M,, Transportation information (block start)
**ram:GrossWeightMeasure**,M,, The total weight of the shipment (gross weight) in kg with an accuracy of 0.1 (block start)
unitCode,M,string,`Unit code <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
value,M,decimal,Value
**ram:GrossWeightMeasure**,,,The total weight of the shipment (gross weight) in kg with an accuracy of 0.1 (the end of the block)
**ram:AssociatedInvoiceAmount**,M,,"Total released for the total amount, uah. The total cost of shipped goods, including VAT and excise duty (if the last is payable) with an accuracy of 0.01 (block start)"
currencyID,M,string, Three-digit currency code (UAH)
value,M,decimal,Value
**ram:AssociatedInvoiceAmount**,,,"Total released for the total amount, uah. The total cost of shipped goods, including VAT and excise duty (if the last is payable) with an accuracy of 0.01 (the end of the block)"
ram:ConsignmentItemQuantity,M,decimal, Total number of cargo spaces (containers)
**ram:ConsignorTradeParty**,M,,Consignor (block start)
**ram:ID**,M,,"Identification code of the consignor (the USREOU of a legal entity or the RNTAC of an individual entrepreneur), which carries out the shipment (write-off) of the goods and material values listed in the TTN (block start)"
schemeAgencyID,M,string, USREOU / RNTAC
value,M,decimal,Value
**ram:ID**,,,"Identification code of the consignor (the USREOU of a legal entity or the RNTAC of an individual entrepreneur), which carries out the shipment (write-off) of the goods and material values listed in the TTN (the end of the block)"
ram:Name,M,string,Full name of the Consignor (legal entity or full name of the individual entrepreneur) carrying out the shipment (write-off) of the goods and material values listed in the TTN
ram:RoleCode,M,string, Participant role (Consignor - CZ). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,O,, Contacts of the responsible representative (block start)
ram:PersonName,O,string,Full name
**ram:TelephoneUniversalCommunication**,O,, Main phone (block start)
ram:CompleteNumber,O,string, Contacts
**ram:TelephoneUniversalCommunication**,,, Main phone (the end of the block)
**ram:MobileTelephoneUniversalCommunication**,O,, Mobile phone (block start)
ram:CompleteNumber,O,string, Contacts
**ram:MobileTelephoneUniversalCommunication**,,, Mobile phone (the end of the block)
**ram:EmailURIUniversalCommunication**,O,, Email address (block start)
ram:CompleteNumber,O,string, Contacts
**ram:EmailURIUniversalCommunication**,,,Email address (the end of the block)
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:PostalTradeAddress**,M,, Legal address of the Consignor (legal address of a legal entity or address of registration of an individual entrepreneur) (block start)
ram:PostcodeCode,O,string,Index
ram:StreetName,M,string, Address (street name + building number)
ram:CityName,M,string, City (name of settlement)
ram:CountryID,M,string, Country (UA)
ram:CountrySubDivisionName,O,string, Region and district (if available)
**ram:PostalTradeAddress**,,, Legal address of the Consignor (legal address of a legal entity or address of registration of an individual entrepreneur) (the end of the block)
**ram:SpecifiedTaxRegistration**,O,, Identification code of the responsible person (block start)
ram:ID,O,string,RNTAC of the responsible person
**ram:SpecifiedTaxRegistration**,,, Identification code of the responsible person (the end of the block)
**ram:ConsignorTradeParty**,,,Consignor (the end of the block)
**ram:ConsigneeTradeParty**,M,,Consignee (block start)
**ram:ID**,M,,"Identification code of the Consignee (the USREOU of a legal entity or the RNTAC of an individual entrepreneur), which receives (posting) the goods and material values listed in the TTN (block start)"
schemeAgencyID,M,string, USREOU / RNTAC
value,M,decimal,Value
