Field name,Type [1]_,Format,Description
**UAECMR_ACT**,M,, (beginning of the document)
**ACT**,M,, (beginning of document content)
**ExchangedDocumentContext**,M,, Technical data (block start)
ram:SpecifiedTransactionID,M,string, Version number of the document (transaction) in the document signing chain
**ram:BusinessProcessSpecifiedDocumentContextParameter**,M,,Document context parameter defined by the business process (block start)
ram:ID,M,string,Document code
**ram:BusinessProcessSpecifiedDocumentContextParameter**,,,Document context parameter defined by the business process (the end of the block)
**ram:GuidelineSpecifiedDocumentContextParameter**,M,,Parameter of the context of the specified document (block start)
ram:ID,M,unsignedByte,Document subtype
**ram:GuidelineSpecifiedDocumentContextParameter**,,,Parameter of the context of the specified document (the end of the block)
**ExchangedDocumentContext**,,, Technical data (the end of the block)
**ExchangedDocument**,M,, Details of the Act (block start)
ram:ID,M,string,Document number
**ram:IssueDateTime**,M,, Date and time of drafting the document (block start)
**udt:DateTime**,,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Date and time of drafting the Act
**ram:IssueDateTime**,,, Date and time of drafting the document (the end of the block)
ram:Remarks,O,string, Other notes
**ram:IssueLogisticsLocation**,M,, Place of drafting the document (block start)
ram:Name,M,string, Name of the place of drafting of the Act
ram:Description,M,string, Description (address) of the place of drafting the Act
**ram:IssueLogisticsLocation**,,, Place of drafting the document (the end of the block)
**ExchangedDocument**,,, Details of the Act (the end of the block)
**StorageDeliveryActPayload**,M,, Information about the Act (block start)
**PreviousAdministrativeReferencedDocument**,M,,"Information about e-TTN, for which the act is drafting (block start)"
ram:TypeCode,M,string, Document type (730 - TTN). `Document code directory <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__
ram:ID,M,string,Basic document number (TTN); must correspond to the document number ExchangedDocument.ID eTTN
**ram:FormattedIssueDateTime**,M,, Date of the basic document (TTN); must correspond to the date of the document ExchangedDocument.IssueDateTime eТТН (block start)
qdt:DateTimeString,M,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00), Date and time of the basic document (TTN)
**ram:FormattedIssueDateTime**,,, Date of the basic document (TTN); must match the date of the document ExchangedDocument.IssueDateTime eТТН (the end of the block)
**ram:AttachedSpecifiedBinaryFile**,M,, e-TTN data for which the act is drafting (block start)
ram:ID,M,string,Identifier (guid) of the basic document (TTN); must correspond to document.id eTTN in the Central Base (value **ettnId** from the method `Getting a list of events from the Central Base <https://wiki.edin.ua/uk/latest/API_ETTNv3_1/Methods/MintransEvents.html>`__ = value of **external_doc_id** `Retrieving meta-data of the document <https://wiki.edin.ua/uk/latest/integration_2_0/APIv2/Methods/GetDocument.html>`__)
ram:URIID,O,string, link to the document
ram:MIMECode,O,string, `MIME typing <https://uk.wikipedia.org/wiki/MIME_%D1%82%D0%B8%D0%BF>`__
ram:SizeMeasure,O,long, file size in bytes
**ram:AttachedSpecifiedBinaryFile**,,, e-TTN data for which the act is drafting (the end of the block)
**PreviousAdministrativeReferencedDocument**,,,"Information about e-TTN, for which the act is drafting (the end of the block)"
**PreviousAdministrativeReferencedDocument**,-/M,,"Information about the previous act, in the case of the next transaction (block start)"
ram:TypeCode,M,string, Document type. `Document code directory <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__
ram:ID,M,string, Number of the basic document (Act); must correspond to the document number ExchangedDocument.ID of the Act
**ram:FormattedIssueDateTime**,M,, Date of the basic document (Act); must correspond to the date of the ExchangedDocument.IssueDateTime Act (block start)
qdt:DateTimeString,M,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00), Date and time of the basic document (Act)
**ram:FormattedIssueDateTime**,,, Date of the basic document (Act); must correspond to the date of the document ExchangedDocument.IssueDateTime Act (the end of the block)
**PreviousAdministrativeReferencedDocument**,,,"Information about the previous act, in the case of the next transaction (the end of the block)"
**CarrierTradeParty**,M,, Carrier (block start)
**ram:ID**,M,, Identification code of the Carrier (block start)
schemeAgencyID,M,string, USREOU
value,M,decimal, Value
**ram:ID**,,, Identification code of the Carrier (the end of the block)
ram:Name,M,string, Full name of the Carrier
ram:RoleCode,M,string, Participant role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,M,string,Driver full name
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:SpecifiedTaxRegistration**,M,, Identification code Driver (block start)
ram:ID,M,string, Signatory's RNTAC (Driver)
**ram:SpecifiedTaxRegistration**,,,Identification code Driver (the end of the block)
**ram:SpecifiedGovernmentRegistration**,M,,Driver's license / Driver's GLN / GLN of the participating company (block start)
ram:ID,M/O,string,"* Driver's license series and number (field is mandatory). Filled in the format «3 capital Cyrillic letters + 6 numbers without spaces», for example: ``DGJ123456``, ``АБВ123456``
* for ram:TypeCode=DRIVER_GLN - Driver's GLN (field is optional)
* for ram:TypeCode=TRADEPARTY_GLN - GLN of the participating company (field is optional)"
ram:TypeCode,O,string,"Id type code:

* DRIVER_GLN
* TRADEPARTY_GLN"
