Field name,Type [1]_,Format,Description
**ЕлектроннийДокумент**,М, ,The beginning of the document
**Заголовок**,М,Number of occurrences unit: Min = 1; Max = 1, Heading (block start)
НомерДокументу,М,String (16),Document number
ТипДокументу,М,String (50),`Types of documents <https://wiki.edin.ua/en/latest/XML/code_doctype.html>`__
ТипСхеми,О,0 or 1,0 - standard scheme (with previous agreement); 1 - non-standard scheme (without previous agreement)
КодТипуДокументу,М,001 ... 034,`Document type code <https://wiki.edin.ua/en/latest/XML/code_doctype.html>`__
ДатаДокументу,М,Date (YYYY-MM-DD),Date of the document
ТермінОплати,O,Date (YYYY-MM-DD),Payment term (date)
ПричинаАнулювання, , ,"The reason why the document is canceled"
ДатаАнулювання, ,Date (YYYY-MM-DD),"The date from which the document is considered canceled"
НомерЗамовлення,О,String (20),Order number
ПроцентШтрафу,О, ,Percentage of fine
ДатаЗамовлення,О,Date (YYYY-MM-DD),Date of the order
НомерДоговоруПоставки,О, ,"Delivery contract number"
ДатаДоговоруПоставки,О,Date (YYYY-MM-DD),"Delivery contract date"
ПлановаДатаДоставки, ,Date (YYYY-MM-DD),Planned delivery date 
МісцеСкладання, , ,Place of document assembly
НомерТовУзгодження,О,String (16),Product adjustment number 
ДатаТовУзгодження,О,Date (YYYY-MM-DD),Product adjustment date 
НомерКонтракту,О,String (16),Contract number
ДатаКонтракту,О,Date (YYYY-MM-DD),Contract date
**ТермінДії**,О,Number of occurrences unit: Min = 0; Max = 1,"Document validity period (block start)"
Початок,М,Date (YYYY-MM-DD),Start date of the document
Кінець,М,Date (YYYY-MM-DD),End date of the document
**ТермінДії**, , ,"Document validity period (the end of the block)"
**ТермінПідпису**,О, ,"Document sign period (block start)"
Початок, ,Date (YYYY-MM-DD),Date of the beginning of the sign period
Кінець, ,Date (YYYY-MM-DD),Date of the end of the sign period
**ТермінПідпису**, , ,"Document sign period (the end of the block)"
**ПеріодНаданняПослуг**, , ,"Services provisioning term (block start)"
Початок,О,Date (YYYY-MM-DD),"Date of the beginning of the provisioning period "
Кінець,О,Date (YYYY-MM-DD),"Date of the end of the provisioning period"
**ПеріодНаданняПослуг**, , ,"Services provisioning term (the end of the block)"
МісцеСкладання,О,String (100),Place of document assembly
Коментар,О,String (50),Comment; The maximum number of tags is 10. Each next tag identifier (ID) is incremented by one.
**ДокПідстава**,О,Number of occurrences unit: Min = 0; Max = 10, Document basis on (block start)
НомерДокументу,М,String (30),Number of a basic document
ТипДокументу,М,String (50),`Types of documents <https://wiki.edin.ua/en/latest/XML/code_doctype.html>`__
КодТипуДокументу,М,001 ... 034,`Document type code <https://wiki.edin.ua/en/latest/XML/code_doctype.html>`__
ДатаДокументу,М,Date (YYYY-MM-DD),Date of the document
**ДокПідстава**, , ,Document basis on (the end of the block)
**ДокументЩоАнулюється**, , ,"The canceled document (block start)"
НомерДокументу,М,String (20),"Number of the canceled document"
ТипДокументу, , ,`Types of documents <https://wiki.edin.ua/en/latest/XML/code_doctype.html>`__
КодТипуДокументу,М,001 ... 034,`Document type code <https://wiki.edin.ua/en/latest/XML/code_doctype.html>`__
