Field name,Type [1]_,Format,Description
**DESADV**, , ,The beginning of the document
NUMBER,М,String (16),Shipping Notification Number
DATE,М,Date (YYYY-MM-DD),Document date
DELIVERYDATE,М,Date (YYYY-MM-DD),Delivery date
DELIVERYTIME,O,Time (hh:mm),Delivery time
ORDERNUMBER,M,String (50),Order number
ORDERDATE,М,Date (YYYY-MM-DD),Order date
ORDRSPNUMBER,O,String (16),Order confirmation number
ORDRSPDATE,O,Date (YYYY-MM-DD),Order confirmation date
DELIVERYNOTENUMBER,М,String (16),Invoice number
DELIVERYNOTEDATE,М,Date (YYYY-MM-DD),Invoice date
RECIPTYPE,О,String (1),"Available values:
0 – «Direct delivery to the ATB» (default),
1 – «Delivery from Logistic Union warehouses»."
SUPPLIERORDENUMBER,O,String (35),Order number in the supplier's accounting system
SUPPLIERORDERDATE,O,Date (YYYY-MM-DD),Shipment notification date
INFO,O,String (70),Free text
PAYMENTTERM,O,Date (YYYY-MM-DD),Deadline for payment for goods
SHIPMENTS,O,String (1),Transportation
CAMPAIGNNUMBER,O,String (70),Supply Agreement Number
TRANSPORTQUANTITY,O,Positive number,Machines quantity
TRANSPORTMARK,O,String (70),Transport mark
TRANSPORTID,O,String (70),Vehicle number
TRANSPORTERNAME,O,String (70),Driver name
TRANSPORTERTYPE,O,String (70),Transport type
TRANSPORTTYPE,О,"String (2, 3)","Transportation type:
20 — railway,
30 — road,
40 — air,
60 — combine,
100 — delivery service"
PACKAGEWIGHT,O,Decimal,Weight
TOTALPACKAGES,О,Decimal,Packages quantity
TOTALPALLETS,О,Decimal,Pallets quantity
**HEAD**, , ,Start of the main block
SUPPLIER,М,Number (13),Supplier GLN
SUPPLIERNAME,O,String (70),Supplier name
BUYER,М,Number (13),Buyer GLN
BUYERCODE,O,String (35),Buyer code
DELIVERYPLACE,M,Number (13),Delivery location GLN
FINALRECIPIENT,O,Number (13),Final consignee GLN
SENDER,М,Number (13),Message sender GLN
SENDERNAME,O,String (70),Sender name
SENDERPHONE,O,String (35),Sender's phone number
SENDERCITY,O,String (70),Sender's city
SENDERADRESS,O,String (70),Sender's address
RECIPIENT,М,Number (13),Message recipient GLN
EDIINTERCHANGEID,O,String (70),"Transaction number (Unique number generated by the sender)"
**PACKINGSEQUENCE**, , ,Work with commodity positions (the beginning of the block)
HIERARCHICALID,М,Positive number,Packing Hierarchy Number
**POSITION**, , ,Commodity items (the beginning of the block)
POSITIONNUMBER,M,Positive number,"Commodity item number (The sequence number of the item in the document (1, 2, 3, 4... n))"
PRODUCT,M,"Number (8, 10, 14)",Product barcode
PRODUCTIDSUPPLIER,O,String (16),Item in supplier database
IDPRODUCER,O,String (8),Manufacturer code
PRODUCTIDBUYER,O,String (16),Item in customer database
DELIVEREDQUANTITY,М,Positive number,Delivery quantity
DELIVEREDUNIT,О,String (3),`Units of measurement <https://wiki.edin.ua/en/latest/XML/units_edi.html>`__
ORDEREDQUANTITY,О,Positive number,Ordered quantity
ORDERUNIT,O,String (3),`Units of measurement <https://wiki.edin.ua/en/latest/XML/units_edi.html>`__
SSCC,O,Number (18),Serial Shipping Container Code
PARTYNAME,O,String(70),Manufacturer name
INVOICEDQUANTITY,O,Positive number,Invoiced quantity
INVOICEUNIT,O,String (3),`Units of measurement <https://wiki.edin.ua/en/latest/XML/units_edi.html>`__
AMOUNT,O,Decimal,Sum of goods (without VAT)
AMOUNTWITHVAT,О,Decimal,Sum of goods (with VAT)
PORTAL_CERT,О,String (30),Certificate number
CUSTOMSTARIFFNUMBER,О,String (30),State Customs Declaration Number (CCD)
PRICE,O,Decimal,Product price without VAT
PRICEWITHVAT,O,Decimal,Product price with VAT
DISCOUNT,O,Positive number,Discount
TAXRATE,O,Number (3),"VAT rate, %"
CONDITIONSTATUS,О,String (3),Condition Status
DESCRIPTION,О,String (70),Product description
PACKAGEID,O,Positive number,Package ID
PARTNUMBER,O,String (35),Batch number
SERIALNUMBER,О,String,"Serial number (feature for medical providers)"
GOODDATE,О,String,"Shelf life (feature for medical providers)"
MINIMUMORDERQUANTITY,O,Positive number,Minimum ordered quantity
**OCERTS**, , ,Certificate data attached to the commodity item  (the beginning of the block). Can contain multiple certificates [CERT]
**CERT**, , ,the beginning of the block под один конкретный сертификат
CERT_NUM,M,String (16),Document number (may contain special characters)
CERT_TYPE,M,String (3),"Certificate type
* SS - certificate of conformity
* SK - quality certificate
* DI - importer declaration
* SES - SES certificate
* DP - manufacturer's declaration
* KS - quarantine certificate
* AFK - phytosanitary control act
* FS - phytosanitary certificate
* SFE - certificate of phytosanitary examination
* PLI -laboratory test report
* EZ - expert opinion
* ST - certificate type"
BATCH,O,String (100),Batch number to which the certificate is issued
START_DATE,M,Date (YYYY-MM-DD),Certificate start date
END_DATE,O,Date (YYYY-MM-DD),Certificate expiration date
URL,M,String (70),"Direct hash link to the scanned copy. Parametr transmitted in XML with ampersand - ""&amp;"""
URL,O,String (70),"second and subsequent hash links to scanned copies with EDS. Parametr transmitted in XML with ampersand - ""&amp;"""
**CERT**, , ,End of the block for one concrete certificate
**OCERTS**, , ,Certificate data attached to the commodity item (the end of the block). Can contain multiple certificates [CERT]
**POSITION**, , ,Commodity items (the end of the block)
**PACKINGSEQUENCE**, , ,Work with commodity positions (the end of the block)
**HEAD**, , ,End of the main block
**DESADV**, , ,End of the document
