Field name,Type [1]_,Format,Description
**ORDER**, , ,The beginning of the document
DOCUMENTNAME,М,Positive number,Title of the document (220 — order)
NUMBER,М,String (50),Order number
DATE,М,Date (YYYY-MM-DD),Document date
ACTION,О,"«4», «5», «27», «29»","4 — supply changed, 5 — replacement of the document, 29 — delivery is accepted, 27 — delivery is not accepted"
VERSION,O,Positive number,Order version
PROMO,O,"«0», «1»","Promotion: 0 — no, 1 — yes"
DELIVERYDATE,М,Date (YYYY-MM-DD),Delivery date
DELIVERYTIME,O,Time (hh:mm),Delivery time
SHIPMENTDATE,O,Date (YYYY-MM-DD),Shipment date
SHIPMENTTIME,O,Time (hh:mm),Shipment time
CAMPAIGNNUMBER,O,String (70),Number of contract for the supply
CAMPAIGNNUMBERDATE,O,Date (YYYY-MM-DD),Contract date
CURRENCY,O,String (3),Currency code
TRANSPORTQUANTITY,O,Positive number,Quantity of machines
ORDERREFERENCENUMBER, ,String (16),Unique order number for tracking
**LIMES**, , ,Transport details (the beginning of the block)
LIMESNAME,O,String (70),The name of the ramp
DATEFROM,O,Date (YYYY-MM-DD),Arrival of transport date
TIMEFROM,O,Time (hh:mm),Arrival of transport time
DATETO,O,Date (YYYY-MM-DD),Shipment End date
TIMETO,O,Time (hh:mm),Shipment End Time
**LIMES**, , ,Transport details (the end of the block)
VAT,O,Positive number,"VAT rate, %"
TRANSPORTATIONTYPES,O,String (35),Mode of transportation
TRANSPORTATIONMEANS,O,String (70),Vehicle
TRANSPORTATIONCONDITION,O,String (70),Transportation conditions
TRANSPORTATIONPAYMENTTYPE,O,String (35),Type of delivery payment
TRANSPORTATIONROUTE,O,String (70),Delivery route
BLANKETORDERNUMBER,O,String (35),Blank Order Number
INFOCODED,O,String (35),Info code
DOCTYPE,O,String (1),"Document type:
O — original,
R — replacement,
D — deletion,
F — order fictitious,
PO — pre-order,
OS — service / marketing order"
CORRNUMBER, , ,
SUPORDER,O,String (35),Supplier Order Number
KDKNUM,O,String (35),FTC General Order Number
ORDRTYPE,O,String (35),Order type
INFO,O,String (70),Free text
EARLIESTDELIVERYDATE,O,Date (YYYY-MM-DD),Earliest delivery date
