Field name,Type [1]_,Format,Description
**ORDRSP**, , ,The beginning of the document
NUMBER,M,String (16),Order Confirmation Number
DATE,M,Date (YYYY-MM-DD),Document date
TIME,O,Time (hh:mm),Document creation time
ORDERNUMBER,M,String (50),Order number
ORDERDATE,M,Date (YYYY-MM-DD),Order date
DELIVERYDATE,O,Date (YYYY-MM-DD),Delivery date
DELIVERYTIME,O,Time (hh:mm),Delivery time
SPECIFICATIONNUMBER,O,String (10),Specification number
SPECIFICATIONDATE,O,Date (YYYY-MM-DD),Specification date
SHIPMENTDATE,O,Date (YYYY-MM-DD),Shipment date
CURRENCY,O,String (3),Currency code
**LIMES**, , ,Transport details (the beginning of the block)
LIMESNAME,O,String (70),The name of the ramp
DATEFROM,O,Date (YYYY-MM-DD),Arrival of transport date
TIMEFROM,O,Time (hh:mm),Arrival of transport time
DATETO,O,Date (YYYY-MM-DD),Shipment End date
TIMETO,O,Time (hh:mm),Shipment End Time
**LIMES**, , ,Transport details (the end of the block)
VAT,O,Positive number,"VAT rate, %"
ACTION,M,"«4», «5», «27», «29»","4 — supply changed, 5 — replacement of the document, 29 — delivery is accepted, 27 — delivery is not accepted"
TRANSPORTATIONPAYMENTTYPE,O,String (70),Payment requirements
TOTALPACKAGES,O,Decimal,Packages quantity
TOTALPACKAGESSPACE,O,Decimal,Number of packaging spaces
TRANSPORTQUANTITY,O,Positive number,Machines quantity
DOCTYPE,M,String (1),"Document type: O — original, R — replacement, D — deletion"
SUPORDER,O,String (35),Supplier Order Number
KDKNUM,O,String (35),FTC General Order Number
ORDRTYPE,O,String (35),Order type
INFO,O,String (70),Free text
REASONINFO,O,String (70),Additional Information
CAMPAIGNNUMBER,O,String (70),Number of contract for the supply
**HEAD**, , ,Start of the main block
BUYER,M,Number (13),Buyer GLN
BUYERCODE,O,String (35),Buyer code
SUPPLIER,M,Number (13),Supplier GLN
DELIVERYPLACE,M,Number (13),Delivery location GLN
FINALRECIPIENT,O,Number (13),Final consignee GLN
INVOICEPARTNER,O,Number (13),Payer GLN
SENDER,M,Number (13),Message sender GLN
RECIPIENT,M,Number (13),Message recipient GLN
CONSIGNEE,M,Number (13),Consignee GLN
RECIPIENTCODE,O,String (35),Recipient Code
RECIPIENTNAME,O,String (70),Recipient's name
RECIPIENTCONTACTFACE,O,String (70),Contact person
RECIPIENTPHONE,O,String (35),Recipient's phone
RECIPIENTCITY,O,String (35),Recipient city
RECIPIENTADRESS,O,String (70),Recipient's address
DELIVERYTERMS, , ,Delivery terms (days)
EDIINTERCHANGEID,O,String (70),"Transaction number (Unique number generated by the sender)"
**POSITION**, , ,Commodity items (the beginning of the block)
POSITIONNUMBER,M,Positive number,"Commodity item number (The sequence number of the item in the document (1, 2, 3, 4... n))"
PRODUCT,M,"Number (8, 10, 14)",Product barcode
PRODUCTIDBUYER,O,String (16),Item in customer database
PRODUCTIDSUPPLIER,O,String (16),Item in supplier database
ORDRSPUNIT,O,String (3),`Units of measurement <https://wiki.edin.ua/en/latest/XML/units_edi.html>`__
CUSTOMSTARIFFNUMBER,M,Positive number,Code for each position of goods according to Ukrainian Classification of Goods of Foreign Economic Activity
DESCRIPTION,O,String (70),Product description
PRICE,O,Decimal,Product price
PRICEWITHVAT,O,Decimal,Product price with VAT
DISCOUNT,M,Positive number,Discount
VAT,O,String (3),"VAT rate, %"
EXPAIRYDATE,O/M,String (30),Warranty period. Mandatory for Modern Expo clients
AMOUNT,O,Decimal,Sum of goods (without VAT)
AMOUNTWITHVAT,M,Decimal,Sum of goods (with VAT)
TAXAMOUNT,М,Decimal,VAT
QUANTITYOFCUINTU,O,Positive number,Amount in a package
PRODUCTTYPE,M,"«1», «2», «3»","1—the goods will be delivered without change,"
"2— change in ordered quantity,",,,
3— refused delivery,,,
ORDEREDQUANTITY,M,Positive number,Ordered quantity
ACCEPTEDQUANTITY,M,Positive number,Available quantity
MINIMUMORDERQUANTITY,M,Positive number,Minimum ordered quantity
MAXIMUMORDERQUANTITY,M,Positive number,Maximum allowable shipping quantity
INFO,O,String (70),Free text
CONDITIONSTATUS,M,String (3),Condition Status
PACKAGEID,O,Positive number,Package ID
COUNTRYORIGIN,M,String (2),Manufacturer country
CALIBRE,M,Positive number,Packing caliber (Diameter)
**PACKING**, , ,Packaging (the beginning of the block)
PACKINGTYPE,O,String (3),Type of packaging
PACKINGQUANTITY,O,Positive number,Number of packages
PACKINGUNIT,O,Positive number,Packer
**PACKING**, , ,Packaging (the end of the block)
**POSITION**, , ,Commodity items (the end of the block)
**HEAD**, , ,End of the main block
**ORDRSP**, , ,End of the document
